N	SelectSort	BubbleSort	ShakerSort	InsertSort	ShellSort
352	62811	150252	130986	62138	5909
353	63178	154528	142924	61444	5964
354	63522	155763	136100	66051	5957
355	63885	159507	136253	64049	5990
356	64225	158257	143525	64407	5977
357	64599	157974	148262	62944	5993
358	64968	158040	135700	67451	6035
359	65317	160591	140642	62534	6065
360	65691	160866	148222	64579	6096
361	66033	169761	143444	67096	6099
362	66403	157114	140818	66001	6092
363	66780	165936	154912	63287	6117
364	67140	164559	146479	68507	6184
365	67498	161236	148390	63785	6167
366	67881	164421	141935	64766	6207
367	68247	166533	146939	66409	6220
368	68620	166858	142482	68728	6235
369	68982	166320	145036	65735	6282
370	69342	173562	146947	71127	6276
371	69736	164506	153461	72226	6304
372	70104	166086	154851	68290	6336
373	70488	173289	152280	70612	6331
374	70861	171022	153693	70031	6337
375	71229	180000	154802	67574	6379
376	71616	177768	149104	73111	6421
377	71983	180961	148200	67012	6440
378	72363	172533	157555	69961	6445
379	72753	183171	155333	73558	6481
380	73129	179221	163592	78596	6505
381	73521	179892	160142	72139	6573
382	73905	182412	160142	73781	6541
383	74266	176275	160895	69350	6606
384	74670	183276	165328	74951	6591
385	75054	187470	149743	78848	6611
386	75448	184387	153387	75923	6659
387	75840	191967	159317	75311	6657
388	76233	188385	161616	74290	6659
389	76615	189937	173123	78504	6700
390	77007	185751	160471	76647	6719
391	77382	185610	161506	80146	6765
392	77782	195988	172019	75850	6760
393	78186	199761	160289	79173	6796
394	78567	185001	159344	73383	6817
395	78967	187765	174144	79403	6832
396	79374	192678	173306	76956	6823
397	79767	196194	174980	80248	6871
398	80182	199261	169614	80334	6913
399	80577	199494	179923	78794	6931
400	80970	197664	180522	78176	6953
401	81385	205144	180850	78631	6979
402	81792	195693	179919	83819	6995
403	82185	202155	169894	81972	7011
404	82597	200806	167858	82063	7017
405	83004	201432	166536	84282	7036
406	83400	208551	176092	79745	7045
407	83824	207901	180370	81788	7109
408	84237	206499	177860	81089	7128
409	84636	208881	176904	80470	7142
410	85063	207862	182284	83177	7149
411	85467	214884	183096	86055	7186
412	85890	211515	182764	83476	7193
413	86293	203131	187440	84430	7239
414	86712	215154	187385	82634	7253
415	87123	216765	182778	91186	7257
416	87556	206134	187078	86188	7258
417	87969	215454	205881	88867	7292
418	88386	217050	185128	89375	7344
419	88807	222970	196533	81584	7371
420	89235	211494	195677	91725	7389
421	89655	226818	182661	87060	7407
422	90079	225610	189192	93859	7425
423	90507	218160	193673	90578	7406
424	90939	220017	188912	91030	7479
425	91348	221515	197307	91172	7503
426	91791	225927	199529	91028	7497
427	92205	233442	198264	98602	7488
428	92647	236674	185017	88303	7524
429	93078	224253	194839	93471	7555
430	93507	230028	198815	94688	7635
431	93940	222430	200978	94758	7608
432	94359	228498	199950	92891	7640
433	94806	230376	203600	95796	7674
434	95242	233776	213095	98263	7708
435	95685	228402	204499	96383	7641
436	96123	231828	214437	95802	7719
437	96547	238831	205555	95509	7770
438	96999	240690	198780	95900	7794
439	97428	249159	211608	94337	7805
440	97885	239017	211093	102988	7844
441	98322	240516	210821	100962	7871
442	98775	251259	215715	100286	7863
443	99211	237541	207167	98779	7897
444	99660	242970	217622	94270	7922
445	100101	246786	227100	96770	7917
446	100555	250126	215798	100496	7953
447	101010	254658	197875	99728	7974
448	101451	252552	199206	104614	7967
449	101896	255526	229993	99997	8027
450	102345	251751	209801	103970	8028
451	102804	255024	229647	103321	8036
452	103258	259075	224013	98936	8053
453	103719	258612	218758	100657	8092
454	104181	255009	227549	103105	8142
455	104632	262654	221868	110315	8125
456	105087	258876	217300	99965	8143
457	105555	255015	231459	106168	8153
458	106021	261781	230055	102373	8225
459	106476	263250	217275	108382	8211
460	106929	268236	225447	112178	8292
461	107398	266683	237316	107623	8290
462	107862	267303	225040	109398	8355
463	108312	257400	219858	109240	8297
464	108784	266986	222786	108958	8329
465	109254	271521	229510	109865	8398
466	109725	266292	236588	109190	8399
467	110194	271045	242328	113390	8384
468	110670	273096	235194	109564	8418
469	111135	280791	238027	112960	8455
470	111604	277642	235979	113005	8476
471	112077	281250	236810	109831	8549
472	112554	270864	256683	113827	8517
473	113026	276034	246492	109200	8530
474	113514	287994	254834	114401	8603
475	113973	277803	252692	117915	8626
476	114451	289591	252198	114241	8614
477	114930	277164	254714	115026	8678
478	115428	281328	250762	113412	8662
479	115912	276490	251793	117998	8689
480	116379	281583	244840	117553	8695
481	116865	281535	245648	116261	8691
482	117352	294118	254280	115863	8745
483	117834	282852	256184	114884	8745
484	118323	290784	247405	121832	8823
485	118801	294820	257572	125491	8794
